"frame","sid","panes","vt_dirty","visual_dirty","resize","start_us","build_us","draw_us","present_us","total_us","quads"
"222","0","1","1","0","0","11605.6","49.8","74.1","157.9","11895.7","2497"
"223","0","1","1","0","0","11796.4","51","63.9","128.9","12046.7","2497"
"224","0","1","1","0","0","14794.7","58.8","60.1","227.4","15146.9","2497"
"225","0","1","1","0","0","16880.3","83.3","87.3","177.9","17236.9","2497"
"226","0","1","1","0","0","9248.7","64.7","8140.6","8282.5","25744.8","2497"
"227","0","1","1","0","0","9471.1","52.8","84.7","321.2","9937.7","2497"
"228","0","1","1","0","0","9786","67.4","89.3","177.9","10127.6","2497"
"229","0","1","1","0","0","11478.1","59.9","83.8","167.4","11795.8","2497"
"230","0","1","1","0","0","12749.8","62.8","65.6","144.7","13028.1","2497"
"231","0","1","1","0","0","12659.5","63.9","60.3","133.4","12922.9","2497"
"232","0","1","1","0","0","12420.7","58.9","65.1","134.9","12685.2","2497"
"233","0","1","1","0","0","10588","52.9","143.5","173.6","10965.7","2497"
"234","0","1","1","0","0","11811.2","58.2","156.7","168.1","12201.2","2497"
"235","0","1","1","0","0","10728.7","69.9","74","134.1","11013.1","2497"
"236","0","1","1","0","0","11376.9","91.8","92.6","149.5","11717.2","2497"
"237","0","1","1","0","0","14062.9","50.2","77.5","140.9","14338.8","2497"
"238","0","1","1","0","0","10461.2","92.3","131.8","162.5","10856","2497"
"239","0","1","1","0","0","12078.7","66.6","254.7","594.6","13001.4","2497"
"240","0","1","1","0","0","14557.6","91.8","544.9","176.9","15377.6","2497"
"241","0","1","1","0","0","13661.9","66.7","71.5","132.6","13938.1","2497"
"242","0","1","1","0","0","11748.7","60.9","57.7","130.1","12003.5","2497"
"243","0","1","1","0","0","16193.9","71.4","71.9","146.2","16489.4","2497"
"244","0","1","1","0","0","18885.9","108.8","95.8","175.9","19273.6","2497"
"245","0","1","1","0","0","20402.5","60.7","82.6","155.7","20707.8","2497"
"246","0","1","1","0","0","14257.9","80.8","164.5","214.6","14726.1","2497"
"247","0","1","1","0","0","20888","61.9","137.1","160","21253","2497"
"248","0","1","1","0","0","14010.5","58.2","120.8","145.9","14340.9","2497"
"249","0","1","1","0","0","10313.8","51","129.6","142.9","10642.5","2497"
"250","0","1","1","0","0","15292.3","108","78.3","163.9","15650.6","2497"
"251","0","1","1","0","0","17091.4","64.6","158.3","268.1","17588.7","2497"
"252","0","1","1","0","0","14067.5","52.6","166.9","275.6","14569.4","2497"
"253","0","1","1","0","0","11734.1","70.6","115.8","157.5","12085.8","2497"
"254","0","1","1","0","0","9771.7","47.7","181.9","141","10149.9","2497"
"255","0","1","1","0","0","10721.4","52.8","71.6","148.9","11000.9","2497"
"256","0","1","1","0","0","10940.5","54.5","65","129.9","11196.5","2497"
"257","0","1","1","0","0","12084","59.2","68","132","12350.3","2497"
"258","0","1","1","0","0","10772.5","46.2","170.8","231","11229","2497"
"259","0","1","1","0","0","9139.2","49.8","142.8","165","9504.2","2497"
"260","0","1","1","0","0","8961.4","55.4","62","126.6","9211","2497"
"261","0","1","1","0","0","13878.2","52.8","68.9","139.7","14145.5","2497"
"262","0","1","1","0","0","9793.6","55","73.3","160.6","10088.4","2497"
"263","0","1","1","0","0","12342.4","70.1","77.2","157.2","12653","2497"
"264","0","1","1","0","0","16627.6","66.5","71.9","146","16918.4","2497"
"265","0","1","1","0","0","12937.2","57.7","64.4","129","13194.3","2497"
"266","0","1","1","0","0","14156","53","59.8","124.6","14399.1","2497"
"267","0","1","1","0","0","15734.9","58.8","133.7","155.4","16087.6","2497"
"268","0","1","1","0","0","13324.6","63.7","150.8","304.1","13848.1","2497"
"269","0","1","1","0","0","20593.5","78.4","154.3","180.6","21014","2497"
